0,0,0,0,0,0,0
1,0.9,0.11,-0.883,0,270,0
2,0.638,0.11,-0.888,0,270,0
3,0.638,0.11,-0.625,0,270,0
4,0.638,0.11,-0.366,0,270,0
5,0.638,0.11,-0.119,0,270,0
6,0.638,0.11,0.14,0,270,0
7,0.638,0.11,0.391,0,270,0
8,0.638,0.11,0.638,0,270,0
9,0.638,0.11,0.8930001,0,270,0
10,0.9,0.11,0.894,0,270,0
11,-0.638,0.11,-0.636,0,90,0
12,-0.638,0.11,-0.381,0,90,0
13,-0.638,0.11,-0.126,0,90,0
14,-0.638,0.11,0.129,0,90,0
15,-0.638,0.11,0.393,0,90,0
16,-0.638,0.11,0.638,0,90,0
17,-0.638,0.11,0.8979999,0,90,0
18,-0.9,0.11,0.884,0,90,0
19,-0.9,0.11,0.638,0,90,0
20,-0.9,0.11,0.38,0,90,0
21,-0.9,0.11,0.129,0,90,0
22,-0.9,0.11,-0.126,0,90,0
23,-0.9,0.11,-0.382,0,90,0
24,-0.9,0.11,-0.636,0,90,0
25,-0.9,0.11,-0.886,0,90,0
26,-0.638,0.11,-0.886,0,90,0
27,0.9,0.11,-0.382,0,270,0
28,0.9,0.11,-0.127,0,270,0
29,0.9,0.11,0.1295445,0,270,0
30,0.9,0.11,-0.629,0,270,0
31,0.9,0.11,0.635,0,270,0
32,0.9,0.11,0.389,0,270,0
